,Price
13168,181.65154862057625
39175,334.3230542632034
28239,724.6172299442602
36517,210.8806957660206
14786,124.29643527204502
25201,97.6034243514664
48656,187.6913727415095
45791,128.55573475445854
43322,230.98683749094053
47064,191.43117593436645
45937,98.63730921160274
22000,237.7760530586326
40672,251.09297921586045
12687,173.66170042769187
36038,194.56612918258924
22140,166.74898280768596
13084,134.18245053343986
43705,485.3529095457415
19658,108.81801125703564
42286,536.7872255862343
46907,286.3286819531122
19827,260.0844277673545
21039,212.1404548554764
23272,257.76711587760764
12223,95.40818724444236
18341,175.65666041275796
46825,203.1180609120445
7020,464.07708241208366
38995,103.80380146354008
3442,55.772971199587566
631,74.05150797928434
24632,129.3539358874856
48577,388.4720566580184
36241,213.21861922240663
21399,503.7747830381712
600,266.6791648114733
37833,178.61735206789328
46610,316.4808451955216
9545,153.08030288866036
24641,234.0130294691785
43174,138.63886096369205
45671,139.30766893392237
7945,149.41699443759163
40144,115.25962639983166
47843,162.4477011897249
28891,469.4371927844023
18980,223.26454033771105
16776,303.00187617260787
21051,621.3692702086126
28098,655.9420494367224
4219,113.42066412016968
25565,167.45454973070864
16134,340.29080675422136
10214,129.94297466579414
44159,190.77455404110069
46383,171.79720917186734
48525,214.57120819016905
9426,182.06039076376555
8943,278.34906983266336
43843,111.0513641783368
34626,479.5414297697829
28826,297.278863566876
46208,169.22609447677817
30867,254.91658122844623
904,134.51128348135825
36297,305.5665957496551
34739,188.5077826451673
13658,183.29651736617004
19663,198.87429643527204
8957,257.5488454706927
41935,149.860893554345
13373,711.3314847017907
12932,145.93222728768154
3318,143.88489208633095
28880,327.38305228250897
157,179.73894500035152
34250,589.9897474135521
4325,169.19363531975725
17631,271.8105065666041
25528,198.73468331804605
5073,155.13322241229818
596,74.05150797928434
31019,294.2958337216889
8339,115.92035150042068
13595,157.4470085068384
22632,791.17570968273
5434,125.9105825400889
43109,159.44637972552778
19533,210.36585365853657
15046,214.8217636022514
21111,142.28932947623414
34680,135.14773045018177
1478,311.9068263304666
46316,185.58773344552745
32616,289.8685804828036
10113,188.8379919603627
45922,112.6615711848164
7707,208.29939255707868
14969,298.54596622889306
308,145.05659316195255
14791,141.6510318949343
471,127.48107702762871
40575,258.57433427629576
38832,239.63715427956888
31081,324.35455308043623
38414,209.9455263834662
15411,344.9812382739212
23187,167.45454973070864
9240,156.58595868000373
28856,460.2648227851078
31611,236.27551495945568
12140,164.26187902429854
13755,172.72171828735256
5082,93.97042626485133
12423,132.77247732293088
35558,289.8685804828036
37386,167.1615271316017
9565,197.2515658595868
9687,192.5773581377956
25949,248.59474587831323
11031,134.4174460685247
27040,178.03805357604836
1270,136.85468563260142
43964,205.97105650760992
17155,148.45215759849904
16423,310.0375234521576
45382,206.3903887057944
12788,183.29651736617004
9806,155.41740674955594
14169,169.6667763312497
17831,223.26454033771105
1339,141.54148993508778
34212,277.9849007363221
48263,231.86779795713247
39805,115.25962639983166
32489,216.935408705378
13328,231.7055975936457
35949,127.45829061422312
8620,223.8945498737964
45075,321.2306829074416
17002,279.31519699812384
19265,158.53658536585365
5401,652.5938510950264
32143,303.6163668561842
96,143.88489208633095
44048,205.73726416197127
37666,112.92170294344562
23329,386.6506738164115
4913,115.99840648653716
40932,207.60760292708017
31316,190.6049026004288
27504,180.86032126813896
16695,129.9249530956848
35249,324.35455308043623
38741,179.7863137960863
1771,173.8804396222436
43977,231.22062983657912
22506,186.0344787036384
46174,273.4731084776664
33083,183.1484760928325
15815,88.18011257035647
3349,208.5627914606426
34637,297.32500699039986
12883,129.9525309019129
12653,115.61780326173805
19214,181.51969981238275
20453,629.8360732848844
47351,179.74429095668842
37100,133.72922170528136
28025,181.09551024247983
35599,626.3398266380838
1491,227.07566845546367
39580,239.63715427956888
3113,107.32781852693742
32739,223.69279522788705
38380,82.99628270170435
24808,109.59806204285142
10604,82.71842834986136
41451,172.7725434269282
43181,450.7516423912281
26748,79.96425127590018
44775,269.3287821756716
41722,141.67816145699388
15725,104.12757973733584
43220,195.2166086082341
20424,155.4599120393236
31941,242.56687482524
10981,175.07167363820088
3835,133.33958240573665
28200,385.4747289447071
48071,131.12684944954773
285,90.45532303798656
32923,416.860844440302
18817,155.95684803001876
47660,191.1974382348129
18619,306.5196998123827
15845,339.1181988742964
447,183.019708012092
4291,102.17233379420244
38705,167.1615271316017
43706,104.03759380917867
37048,200.59383255792204
26683,211.43488793245373
8246,146.30270169206318
17280,268.76172607879926
29288,755.191796608575
14572,314.7279549718574
34103,394.02553826078855
27319,218.4905571626802
39659,222.33652070231216
16992,315.19699812382737
15302,303.00187617260787
14121,193.6363209099027
21402,131.70582563089442
40036,288.2659621723985
4737,159.82002671478455
35394,230.6831950787585
11660,168.2568031207407
7049,214.11781134358924
11832,284.34459745264843
204,115.99840648653716
25922,284.8138479268092
12758,316.7739812943554
31761,440.3951906049026
29695,174.745407935276
9981,220.15518369636345
10277,186.50088809946712
